step,config,method,status,metric_error_val,normalized_perf,seconds,time_limit,pred_mean,pred_std,pred_cost,acquisition,f_best_before,best_error_so_far,elapsed,is_best
1,KNeighbors_r129_BAG_L1,KNeighbors,ok,0.22407619047619043,-0.44815238095238086,1.4052407253911952,295.8422167999961,-0.527110918176083,0.22825462620635323,0.1427773491016893,3.323249363756839,-1.0,0.22407619047619043,5.464264099995489,True
2,ExtraTrees_c1_BAG_L1,ExtraTrees,ok,0.1939047619047618,-0.3878095238095236,1.7163983582722722,294.53505320000113,-0.3935401166974782,0.21743251613575187,0.20466285219854316,0.5705529155969145,-0.44815238095238086,0.1939047619047618,7.121150999999372,True
3,RandomForest_r162_BAG_L1,RandomForest,ok,0.20571428571428574,-0.4114285714285715,0.988405228490592,292.8781162999949,-0.3857362860632893,0.07995731038054599,2.1172786729738817,0.015560395296450598,-0.3878095238095236,0.1939047619047618,8.10347190000175,False
4,CatBoost_r159_BAG_L1,CatBoost,ok,0.16419047619047622,-0.32838095238095244,22.351529277002555,291.8958352000045,-0.3559666474253337,0.026250308548461644,0.41202773212388405,0.08076301666924392,-0.3878095238095236,0.16419047619047622,30.458750100006,True
5,LinearModel_r30_BAG_L1,LinearModel,ok,0.16525714285714277,-0.33051428571428554,0.8680292000062764,269.5404892999941,-0.41570195513609737,0.10046704634958685,0.6852778762485459,0.015575174461657872,-0.32838095238095244,0.16419047619047622,31.355316699991818,False
6,LinearModel_r200_BAG_L1,LinearModel,ok,0.17546666666666666,-0.3509333333333333,0.8840298635332147,268.64369250000163,-0.33580297859447716,0.038873909484335584,0.9544473774911171,0.01265574127359279,-0.32838095238095244,0.16419047619047622,32.246032600000035,False
7,LinearModel_r150_BAG_L1,LinearModel,ok,0.17554285714285722,-0.35108571428571445,0.8698443367611617,267.75316930000554,-0.33690819589130055,0.021525578209345097,0.905247731551458,0.005511180816891447,-0.32838095238095244,0.16419047619047622,33.11952749999182,False
8,LinearModel_r165_BAG_L1,LinearModel,ok,0.1622095238095238,-0.3244190476190476,0.8799525482900208,266.87974889999896,-0.33205161140339773,0.013528714226334141,0.8767015537072607,0.004288001220683008,-0.32838095238095244,0.1622095238095238,34.00504239999282,True
9,LinearModel_r177_BAG_L1,LinearModel,ok,0.19969523809523815,-0.3993904761904763,0.855608875353937,265.99407470000733,-0.3543988996933548,0.02692140923090561,0.8936937597956952,0.0020120755409901736,-0.3244190476190476,0.1622095238095238,34.87083040000289,False
10,ExtraTrees_r168_BAG_L1,ExtraTrees,ok,0.19969523809523804,-0.3993904761904761,0.9708863859705161,265.12848070000473,-0.34482535085195126,0.02356934796762216,1.0647632949929058,0.0023659481018324024,-0.3244190476190476,0.1622095238095238,35.83395610000298,False
11,LightGBM_r9_BAG_L1,LightGBM,ok,0.17638095238095242,-0.35276190476190483,1.2063405396183953,264.1653193999955,-0.3301299395190413,0.01624651755057213,1.4090116375758743,0.002854720908995697,-0.3244190476190476,0.1622095238095238,37.048208199994406,False
12,LinearModel_r139_BAG_L1,LinearModel,ok,0.16678095238095247,-0.33356190476190495,0.850032000002102,262.9510462000035,-0.3418339916824723,0.01572529074544387,0.8682710670987939,0.00122457924044402,-0.3244190476190476,0.1622095238095238,37.91379940000479,False
13,KNeighbors_r6_BAG_L1,KNeighbors,ok,0.44666666666666666,-0.8933333333333333,0.8734054539818317,262.08547120000003,-0.4856081791252969,0.11321888800557003,1.3336444846291575,0.0029540014524224315,-0.3244190476190476,0.1622095238095238,38.77141099999426,False
14,LinearModel_r98_BAG_L1,LinearModel,ok,0.18834285714285715,-0.3766857142857143,0.8851366928429343,261.22785979999753,-0.32809548629715035,0.016638873549836716,0.8707190751139654,0.005697716599736964,-0.3244190476190476,0.1622095238095238,39.653346999999485,False
15,ExtraTrees_r65_BAG_L1,ExtraTrees,ok,0.19596190476190478,-0.39192380952380956,0.9833534892677562,260.34595220000483,-0.34047259827737064,0.02951422885821618,1.0095535379975111,0.005396210669738793,-0.3244190476190476,0.1622095238095238,40.622119299994665,False
16,LinearModel_r7_BAG_L1,LinearModel,ok,0.16784761904761913,-0.33569523809523827,0.8397156211285619,259.3763694000081,-0.3437216234230726,0.028821977677480386,0.8642946569598159,0.005013810643811495,-0.3244190476190476,0.1622095238095238,41.47680360000231,False
